ft,nimi,vuosi,kustantaja,kirjailija,alkukieli,tyyppi
http://www.yso.fi/onto/kaunokki#Instance_ID123175941615544,Ennen lähtöä,2000,Tammi,"Lehtolainen, Leena",fin,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123175941735756,Ennen päivänlaskua ei voi,2000,Tammi,"Sinisalo, Johanna",fin,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123175942258190,Ensimmäinen kotka,2000,Otava,"Hillerman, Tony",eng,romaanit
http://data.kirjasampo.fi/physicalWork_9516228216,Ensimmäinen sateenkaari,2000,Päivä,"Box, Su",eng,kuvakirjat
http://www.yso.fi/onto/kaunokki#Instance_ID123175943378786,Erewhon,2000,Terra Cognita,"Butler, Samuel",eng,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123175943109063,Eräelämä,2000,MC-Pilot,"Karvinen, Jorma",fin,kokoomateokset
http://www.yso.fi/onto/kaunokki#Erakokemuksia_Isonkiven_takaa,Eräkokemuksia Isonkiven takaa,2000,Omakustanne,"Haataja, Olli",fin,novellikokoelmat
http://www.yso.fi/onto/kaunokki#Instance_ID123175943068341,Erään sukuromaanin loppu,2000,Tammi,"Nádas, Péter",hun,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123175942824864,Eräänä aamuna sydämessäni,2000,Enostone,"Neuvonen, Kiti",fin,runokokoelmat
http://www.yso.fi/onto/kaunokki#Esperanto,Esperanto,2000,Kopijyvä,"Suvilehto, Eero",fin,novellikokoelmat
http://www.yso.fi/onto/kaunokki#Instance_ID123175943888943,"Esse, ohiammuttu",2000,MC-Pilot,"Moilanen, Matti J.",fin,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123175944246947,Etsitään impotenttia miestä,2000,Karisto,"Hauptmann, Gaby",deu,romaanit
http://seco.tkk.fi/saha3/ub9ad729c-5db3-4b7c-9f9a-d01496f9e8db,Etsivätoimisto Jalka & Lamppu ja kadonnut enkeli,2000,Tammi,"Nuotio, Eppu",fin,romaanit
http://seco.tkk.fi/saha3/u786c9add-6585-436b-b195-e06aba0cdffa,Ettehän sitten suutu!,2000,Kustannus-Mäkelä,"Mooney, Bel",eng,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID12317594457284,Että on ikuista valo,2000,Otava,"Mäkelä, Hannu",fin,runokokoelmat
http://www.yso.fi/onto/kaunokki#Instance_ID123175943989177,Etäisiä huutoja,2000,Like,"Edwardson, Åke",swe,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID123175943949068,Etäällä koittaa kevät,2000,Otava,"Pilgrim, Ruri",eng,romaanit
http://www.yso.fi/onto/kaunokki#Instance_ID12317594510937,Eurovaras,2000,Myllylahti,"Masalin, Teuvo",fin,romaanit
